,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
139,Aichach,0,DE,1561617795,78,48.46,11.13,78.01,2.24
140,Alofi,0,NU,1561617271,78,-19.06,-169.92,73.4,10.29
141,Kodiak,1,US,1561617274,83,39.95,-94.76,75.99,5.82
142,Arlit,0,NE,1561617409,30,18.74,7.39,90.23,9.73
143,Touba,27,SN,1561617796,85,14.86,-15.88,74.39,10.47
144,Saint-Francois,0,FR,1561617362,100,46.42,3.91,68.0,3.71
145,Kargil,0,PK,1561617796,27,34.56,76.13,50.63,2.82
146,Tabou,97,CI,1561617667,94,4.42,-7.36,73.49,3.22
147,Muisne,79,EC,1561617416,85,0.61,-80.02,76.01,14.65
148,Mwene-Ditu,57,CD,1561617796,43,-7.01,23.45,69.89,4.61
149,Ajdabiya,0,LY,1561617797,79,30.75,20.22,76.55,12.3
150,Kamaishi,75,JP,1561617419,88,39.28,141.86,71.6,9.17
151,Xocali,74,AZ,1561617797,64,39.91,46.79,65.75,4.45
152,Port Blair,90,IN,1561617332,83,11.67,92.75,84.2,4.7
153,Moanda,98,CD,1561617797,76,-5.93,12.38,74.21,13.51
154,Caravelas,6,BR,1561617431,87,-17.73,-39.27,71.87,4.23
155,Baykit,81,RU,1561617410,30,61.68,96.39,81.23,5.79
156,Byron Bay,75,AU,1561617798,82,-28.65,153.62,68.0,5.82
157,Ossora,40,RU,1561617798,54,59.24,163.07,58.01,6.08
158,Paracuru,40,BR,1561617719,78,-3.41,-39.03,78.8,8.05
159,Santo Estevao,9,BR,1561617798,97,-12.43,-39.25,63.95,2.37
160,Hailun,100,CN,1561617799,82,47.46,126.97,70.25,4.88
161,Bambous Virieux,40,MU,1561617320,78,-20.34,57.76,77.0,17.22
162,Bethel,40,US,1561617349,72,60.79,-161.76,64.4,8.05
163,Kaitangata,3,NZ,1561617316,64,-46.28,169.85,51.01,4.0
164,Portobelo,20,PA,1561617799,94,9.55,-79.65,80.01,3.36
165,Delta,1,US,1561617705,22,38.74,-108.07,69.8,9.17
166,Mayo,20,CA,1561617392,25,63.59,-135.9,66.2,4.7
167,Nikolskoye,75,RU,1561617289,82,59.7,30.79,64.99,6.71
168,Bonga,43,ET,1561617800,85,7.26,36.25,63.41,1.32
169,Capitao Poco,100,BR,1561617800,97,-1.75,-47.06,70.97,3.18
170,Avarua,11,CK,1561617345,69,-21.21,-159.78,73.4,3.36
171,Ponta do Sol,69,BR,1561617327,63,-20.63,-46.0,61.97,3.06
172,Tigil,94,RU,1561617801,54,57.8,158.67,59.99,9.33
173,Honiara,75,SB,1561617801,66,-9.43,159.96,87.8,9.17
174,Przhevalskoye,100,RU,1561617801,98,55.51,31.85,65.57,5.84
175,Plettenberg Bay,0,ZA,1561617348,73,-34.05,23.37,53.15,6.22
176,Mount Gambier,33,AU,1561617316,59,-37.83,140.78,62.6,13.87
177,Losal,0,IN,1561617801,28,27.4,74.92,103.19,14.54
178,Marsa Matruh,0,EG,1561617341,78,31.35,27.25,78.8,5.82
179,Priargunsk,26,RU,1561617802,26,50.37,119.09,79.97,12.19
180,Rakitnoye,0,RU,1561617802,50,50.83,35.83,75.2,11.18
181,Tocopilla,100,CL,1561617802,79,-22.09,-70.2,57.83,2.66
182,Lompoc,75,US,1561617320,93,34.64,-120.46,60.01,4.7
183,Dikson,84,RU,1561617275,96,73.51,80.55,34.07,13.62
184,Longyearbyen,75,NO,1561617408,96,78.22,15.63,39.2,14.99
185,Paamiut,100,GL,1561617433,100,61.99,-49.67,40.19,6.96
186,Nuuk,96,GL,1561617340,93,64.17,-51.74,46.4,4.7
187,Karratha,67,AU,1561617311,24,-20.74,116.85,82.85,5.61
188,Jiangyou,100,CN,1561617803,67,31.78,104.73,75.11,3.09
189,Isangel,90,VU,1561617358,83,-19.55,169.27,77.0,12.55
190,Veinticinco de Mayo,0,AR,1561617360,94,-27.38,-54.75,38.57,1.83
191,Gimli,0,CA,1561617804,76,50.63,-96.99,60.01,5.66
192,Pontes e Lacerda,1,BR,1561617804,96,-15.23,-59.33,62.33,4.23
193,Vanimo,17,PG,1561617421,69,-2.67,141.3,83.93,8.95
194,Chokurdakh,0,RU,1561617281,33,70.62,147.9,66.11,15.5
195,Lebu,61,ET,1561617271,68,8.96,38.73,63.77,2.28
196,Coquimbo,0,CL,1561617351,87,-29.95,-71.34,48.99,3.36
197,Victoria Point,40,AU,1561617805,72,-27.58,153.3,68.0,6.93
198,Brae,75,GB,1561617311,87,60.4,-1.35,51.8,10.29
199,Belyy Yar,0,RU,1561617740,50,53.6,91.39,77.0,2.24
200,Duekoue,86,CI,1561617805,99,6.74,-7.35,70.97,2.04
201,Margate,0,AU,1561617337,62,-43.03,147.26,53.6,6.93
202,Ulladulla,20,AU,1561617707,63,-35.36,150.48,62.6,8.05
203,Sanmenxia,100,CN,1561617806,43,34.77,111.19,80.15,11.74
204,Juli,100,CN,1561617806,51,25.21,100.58,77.27,10.83
205,Ambilobe,44,MG,1561617316,69,-13.19,49.05,78.89,3.56
206,Ostrovnoy,100,RU,1561617423,74,68.05,39.51,54.23,12.41
207,Mariental,90,BR,1561617806,100,-25.72,-49.65,59.0,4.7
208,Ayolas,0,PY,1561617807,79,-27.39,-56.84,41.81,5.32
209,Harrisonville,1,US,1561617766,88,38.65,-94.35,75.2,3.36
210,Narsaq,100,GL,1561617288,93,60.91,-46.05,46.4,10.29
211,Klaksvik,90,FO,1561617310,100,62.23,-6.59,50.0,10.29
212,Porto Novo,40,BR,1561617807,93,-23.68,-45.44,64.4,2.24
213,Valentin Gomez Farias,5,MX,1561617808,52,24.05,-104.7,58.55,3.85
214,Yaan,100,NG,1561617338,96,7.38,8.57,72.77,5.68
215,Sorland,40,NO,1561617318,70,67.67,12.69,48.2,10.29
216,Talnakh,0,RU,1561617339,57,69.49,88.39,48.2,13.42
217,Flinders,20,AU,1561617266,63,-34.58,150.85,63.0,8.05
218,Robertsport,100,LR,1561617306,91,6.75,-11.37,76.37,7.18
219,Cherskiy,82,RU,1561617347,35,68.75,161.3,64.67,19.95
220,Deputatskiy,11,RU,1561617809,24,69.3,139.9,74.57,9.06
221,Pevek,66,RU,1561617260,74,69.7,170.27,36.59,26.6
222,Pitimbu,75,BR,1561617701,100,-7.47,-34.81,71.6,5.82
223,Nanakuli,75,US,1561617778,100,21.39,-158.15,80.01,8.55
224,Tessalit,0,ML,1561617323,45,20.2,1.01,81.95,10.98
225,Port-Gentil,40,GA,1561617313,94,-0.72,8.78,73.4,2.24
226,Yar-Sale,66,RU,1561617383,56,66.83,70.83,52.25,9.66
227,Belmonte,1,PT,1561617810,76,40.36,-7.35,62.01,1.81
228,Rampur Hat,94,IN,1561617810,35,24.18,87.79,102.29,9.64
229,La Ronge,40,CA,1561617811,87,55.1,-105.3,53.6,5.82
230,Butaritari,1,KI,1561617320,77,3.07,172.79,83.39,15.61
231,Boa Vista,40,BR,1561617395,78,2.82,-60.67,78.8,9.17
232,Bondo,91,CD,1561617811,95,3.81,23.69,71.33,1.45
233,Ouesso,100,CG,1561617811,92,1.61,16.05,70.61,3.15
234,Manavalakurichi,40,IN,1561617812,74,8.13,77.3,87.8,10.29
235,Westport,20,US,1561617616,83,41.14,-73.36,72.0,6.93
236,Rosetta,0,EG,1561617812,77,31.4,30.42,77.45,5.01
237,Fort Walton Beach,90,US,1561617812,65,30.41,-86.62,82.4,6.6
238,Nagato,75,JP,1561617813,83,34.35,131.14,80.6,5.82
239,Archidona,58,EC,1561617813,84,-0.91,-77.81,61.07,2.95
240,Hay River,90,CA,1561617382,100,60.82,-115.79,50.0,4.7
241,Pauini,56,BR,1561617813,95,-7.71,-67.0,71.87,1.74
242,Maniitsoq,59,GL,1561617309,82,65.42,-52.9,44.15,1.66
243,Ribeira Grande,75,PT,1561617306,68,38.52,-28.7,64.4,10.29
244,Bontang,35,ID,1561617349,71,0.12,117.47,88.25,3.2
245,Ternate,90,PH,1561617814,94,14.29,120.72,82.99,9.17
246,Yenagoa,100,NG,1561617814,97,4.92,6.26,73.13,2.8
247,Avera,1,US,1561617286,94,33.19,-82.53,72.0,4.7
248,Yangambi,81,CD,1561617814,95,0.77,24.47,71.69,1.19
249,Fortuna,40,US,1561617399,87,40.6,-124.16,55.99,4.7
250,Washougal,90,US,1561617815,82,45.58,-122.35,57.2,6.93
251,Solnechnogorsk,0,RU,1561617815,82,56.19,36.98,59.0,11.18
252,Sinaloa,5,MX,1561617815,36,32.55,-115.28,82.4,6.93
253,Awjilah,0,LY,1561617815,56,29.14,21.3,80.69,11.77
254,Namatanai,63,PG,1561617361,77,-3.66,152.44,82.13,11.72
255,East London,0,ZA,1561617025,48,-33.02,27.91,60.8,16.11
256,Santa Luzia,0,BR,1561617816,77,-19.77,-43.85,64.4,3.74
257,Markova,40,RU,1561617817,72,52.21,104.21,62.6,6.71
258,Champerico,89,MX,1561617436,96,16.38,-93.6,68.63,4.05
259,Rodrigues Alves,29,BR,1561617293,86,-7.74,-72.65,71.15,1.97
260,Sur,64,OM,1561617403,38,22.57,59.53,96.71,9.31
261,Tashla,40,RU,1561617817,48,53.71,49.75,62.6,2.24
262,Kondol,99,RU,1561617817,90,52.82,45.06,57.83,8.7
263,Quatre Cocos,40,MU,1561617670,78,-20.21,57.76,77.0,17.22
264,Kayerkan,0,RU,1561617709,57,69.35,87.76,48.2,13.42
265,Saint Anthony,1,US,1561617425,37,43.97,-111.68,66.2,4.7
266,Aklavik,90,CA,1561617255,51,68.22,-135.01,46.4,4.7
267,Abu Dhabi,0,AE,1561617224,35,24.47,54.37,100.4,12.75
268,Wangqing,0,CN,1561617818,26,43.31,129.76,88.25,6.08
269,Souillac,0,FR,1561617412,64,45.6,-0.6,80.01,4.7
270,Tura,73,RU,1561617264,37,64.27,100.22,81.05,5.19
271,Itaituba,87,BR,1561617768,95,-4.26,-55.99,70.97,2.08
272,Sheltozero,92,RU,1561617819,52,61.37,35.37,59.45,4.94
273,Lyuban,96,BY,1561617819,88,52.8,28.0,72.77,17.74
274,Parana,7,BR,1561617819,90,-7.52,-72.89,71.15,1.79
275,Portland,90,US,1561617355,87,43.66,-70.25,63.0,8.05
276,Hryshkivtsi,54,UA,1561617820,81,49.93,28.61,70.25,14.76
277,Harper,40,US,1561617820,88,30.3,-99.24,73.4,4.7
278,Jhanjharpur,90,IN,1561617820,49,26.21,86.23,97.25,6.87
279,Grindavik,90,IS,1561617808,100,63.84,-22.43,50.0,16.11
280,Samarai,65,PG,1561617310,83,-10.62,150.67,78.71,6.62
281,Vardo,1,US,1561617358,88,39.62,-77.74,73.99,3.36
282,Salalah,90,OM,1561617284,89,17.01,54.1,84.2,12.75
283,Peterhead,14,AU,1561617821,35,-34.83,138.5,71.6,18.34
284,Sunland Park,20,US,1561617821,26,31.8,-106.58,87.01,4.7
285,Khalilabad,0,IR,1561617822,10,35.25,58.29,91.4,9.17
286,Waynesboro,1,US,1561617822,88,35.32,-87.76,75.2,1.5
287,Hovd,75,NO,1561617822,93,63.83,10.7,52.0,18.34
288,Lodwar,0,KE,1561617697,45,3.12,35.6,83.75,10.36
289,Ust-Kuyga,51,RU,1561617822,23,70.0,135.55,80.51,4.68
290,Rozivka,0,UA,1561617823,47,47.51,38.15,76.01,4.97
291,Tshikapa,7,CD,1561617823,37,-6.42,20.79,70.61,2.71
292,Waingapu,10,ID,1561617823,63,-9.65,120.26,78.53,16.35
293,Xining,100,CN,1561617823,96,36.62,101.77,46.13,4.16
294,Tutoia,65,BR,1561617824,93,-2.76,-42.27,70.79,4.18
295,San Joaquin,100,PH,1561617392,89,10.59,122.14,79.25,6.8
296,Tongliao,94,CN,1561617402,15,43.61,122.27,99.59,3.11
297,Parakou,100,BJ,1561617824,86,9.34,2.63,74.03,5.37
298,Toppenish,40,US,1561617542,71,46.38,-120.31,61.0,3.36
299,Qasigiannguit,0,GL,1561617425,80,68.82,-51.19,41.0,2.24
300,Baft,0,IR,1561617824,15,29.23,56.61,75.47,4.18
301,Bandarbeyla,28,SO,1561617324,43,9.49,50.81,88.07,30.67
302,Vanavara,7,RU,1561617825,28,60.35,102.28,84.29,4.94
303,Shelburne,1,CA,1561617825,93,44.08,-80.2,64.99,4.65
304,Ahipara,30,NZ,1561617436,74,-35.17,173.16,57.11,21.09
305,Coihaique,40,CL,1561617397,100,-45.58,-72.07,33.8,5.82
306,Mogoytuy,88,RU,1561617826,81,51.28,114.93,65.03,10.09
307,Stanger,0,ZA,1561617826,82,-29.34,31.29,64.0,11.41
308,Camargo,24,MX,1561617826,40,27.69,-105.17,81.23,14.47
309,Praia,0,BR,1561617326,77,-20.25,-43.81,62.6,3.0
310,Cayenne,75,GF,1561617240,100,4.94,-52.33,75.2,2.77
311,Palora,44,EC,1561617827,91,-1.7,-77.97,63.59,2.86
312,Lalibela,100,ET,1561617827,37,12.04,39.05,70.97,3.91
313,Xapuri,50,BR,1561617827,82,-10.65,-68.5,71.69,2.44
314,Loknya,100,RU,1561617827,73,54.21,39.24,64.99,6.22
315,Clinton,1,US,1561617828,88,41.28,-72.53,71.01,4.68
316,Moerai,90,PF,1561617828,81,-22.43,-151.33,72.41,2.08
317,Egvekinot,100,RU,1561617306,90,66.32,-179.17,39.83,4.25
318,San Patricio,0,PY,1561617290,81,-26.98,-56.83,41.63,4.74
319,Kamiiso,75,JP,1561617829,88,41.82,140.65,68.0,8.05
320,San Quintin,93,PH,1561617350,69,17.54,120.52,86.27,10.54
321,Redmond,20,US,1561617829,72,47.67,-122.12,61.0,4.7
322,Sao Sebastiao,83,BR,1561617830,91,-3.15,-58.36,73.67,2.46
323,Zehdenick,40,DE,1561617830,67,52.98,13.33,68.0,11.41
324,Lyngseidet,75,NO,1561617830,81,69.58,20.21,44.6,19.46
325,Sabang,82,PH,1561617807,93,13.8,121.11,77.81,7.9
326,Lerwick,75,GB,1561617831,81,60.15,-1.15,51.8,9.17
327,Aswan,0,EG,1561617361,12,24.09,32.9,95.0,9.17
328,Necochea,50,AR,1561617702,51,-38.55,-58.74,48.99,11.99
329,Ozinki,97,RU,1561617415,48,51.2,49.73,68.81,4.47
330,French Harbor,20,HN,1561617831,78,16.35,-86.43,78.8,9.17
331,Nacogdoches,1,US,1561617687,100,31.6,-94.66,72.0,3.24
332,Flin Flon,28,CA,1561617756,95,54.77,-101.88,49.91,4.59
333,Hamilton,20,CA,1561617263,82,43.26,-79.87,70.0,3.36
334,Zaoyang,89,CN,1561617832,42,32.12,112.76,93.47,10.76
335,Manuk Mangkaw,100,PH,1561617832,76,4.8,119.85,84.65,14.18
336,Asyut,0,EG,1561617832,11,27.18,31.19,98.51,7.07
337,Tual,24,ID,1561617269,80,-5.67,132.75,78.17,21.16
338,Tuatapere,82,NZ,1561617323,87,-46.13,167.69,51.01,5.01
339,Shingu,75,JP,1561617391,94,33.72,135.99,77.0,23.04
340,Kiruna,42,SE,1561617666,57,67.86,20.23,50.0,21.92
341,Saint-Joseph,0,FR,1561617384,65,43.56,6.97,89.01,3.36
342,El Rosario,5,MX,1561617833,69,22.99,-105.86,86.0,3.36
343,Alice Springs,60,AU,1561617341,20,-23.7,133.88,69.8,3.36
344,Sola,100,TZ,1561617719,66,-3.17,33.8,68.45,3.8
345,Road Town,1,VG,1561617834,78,18.42,-64.62,80.6,6.93
346,Novyy Urgal,98,RU,1561617834,36,51.07,132.56,73.67,1.74
347,Yeppoon,75,AU,1561617741,56,-23.13,150.74,73.4,17.22
348,Ballina,0,IE,1561617834,81,54.11,-9.15,57.99,9.17
349,Nizhniy Tsasuchey,89,RU,1561617287,68,50.52,115.13,69.53,9.44
350,Muscle Shoals,1,US,1561617835,78,34.75,-87.67,75.99,1.05
351,Potiskum,100,NG,1561617835,79,11.71,11.08,75.65,12.46
352,Trogir,0,HR,1561617835,40,43.52,16.25,87.8,2.24
353,Amalapuram,40,IN,1561617835,56,16.58,82.0,95.0,11.41
354,Zhengjiatun,60,CN,1561617836,25,43.51,123.51,93.83,5.86
355,Hervey Bay,40,AU,1561617664,64,-25.3,152.85,73.0,19.46
356,Saint George,20,GR,1561617297,40,39.45,22.34,86.0,5.82
357,Dawei,100,MM,1561617836,75,14.07,98.19,83.75,15.5
358,Naica,24,MX,1561617836,40,27.86,-105.49,81.23,14.47
359,Hohhot,40,CN,1561617837,82,40.81,111.65,66.2,8.95
360,Lasa,20,CY,1561617433,74,34.92,32.53,80.6,11.41
361,Natchez,40,US,1561617837,88,31.56,-91.4,75.2,2.59
362,Manbij,0,SY,1561617837,38,36.53,37.96,93.2,9.17
363,Tiarei,20,PF,1561617746,74,-17.53,-149.33,78.8,4.7
364,Pointe Michel,43,DM,1561617838,77,15.25,-61.38,78.89,9.84
365,Swan River,10,CA,1561617412,93,52.11,-101.27,50.81,3.18
366,Neryungri,86,RU,1561617363,38,56.66,124.71,72.95,3.71
367,Basoko,93,CD,1561617838,96,1.23,23.61,71.87,1.68
368,Varhaug,75,NO,1561617838,71,58.61,5.65,55.99,10.29
369,Black River,20,JM,1561617839,78,18.03,-77.85,82.4,9.17
370,Moyale,60,ET,1561617839,70,3.52,39.05,70.61,12.73
371,Nanortalik,99,GL,1561617266,98,60.14,-45.24,36.41,8.9
372,Vila Velha,40,BR,1561617338,78,-3.71,-38.6,78.8,8.05
373,Kadarkut,0,HU,1561617839,78,46.24,17.62,78.8,4.7
374,Biltine,95,TD,1561617753,34,14.53,20.93,88.07,6.2
